NUMERO_EXPEDIENTE;FECHA_SOLICITUD;ORGANO_COMPETENTE;DESCRIPCION_CAUSA_TERMINACION;FECHA_RESOLUCION;TIPO_DE_ENTRADA;IDENTIFICACION_SOLICITANTE(S/N);PERSONA_FISICA/JURIDICA
213/2020/00770;03/09/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;19/09/2020;AC - Atención al ciudadano;S;F
213/2020/00771;03/09/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Inadmitir a Trámite;28/10/2020;AC - Atención al ciudadano;S;F
213/2020/00772;08/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;10/09/2020;IN - Internet;S;F
213/2020/00773;01/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;10/09/2020;OT - Otros;S;F
213/2020/00774;08/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;29/09/2020;IN - Internet;S;F
213/2020/00775;08/09/2020;Secretaría General del Pleno;Conceder;30/09/2020;CP - Correo postal;S;F
213/2020/00776;08/09/2020;Gerencia de Agencia de Actividades;Conceder;22/09/2020;IN - Internet;S;F
213/2020/00777;08/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;10/09/2020;IN - Internet;S;F
213/2020/00778;10/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;16/09/2020;IN - Internet;S;F
213/2020/00779;11/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;02/10/2020;IN - Internet;S;F
213/2020/00782;11/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;16/09/2020;IN - Internet;S;F
213/2020/00783;07/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;28/09/2020;OT - Otros;N;
213/2020/00784;12/09/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Resolución concediendo;28/09/2020;IN - Internet;S;F
213/2020/00786;13/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;16/09/2020;IN - Internet;S;F
213/2020/00787;13/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;02/10/2020;IN - Internet;S;F
213/2020/00788;14/09/2020;Secretaría General Técnica del Área de Gobierno de Economía, Innovación y Empleo;TIPO I Resuelta favorablemente;25/03/2021;IN - Internet;S;F
213/2020/00790;14/09/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Inadmitir a Trámite;02/10/2020;IN - Internet;S;F
213/2020/00791;14/09/2020;Gerencia de Madrid Salud;Conceder;18/09/2020;IN - Internet;S;F
213/2020/00792;14/09/2020;Coordinación del Distrito de Fuencarral-El Pardo;Conceder;07/10/2020;IN - Internet;S;F
213/2020/00793;14/09/2020;Coordinación del Distrito de Fuencarral-El Pardo;Conceder;06/10/2020;IN - Internet;S;F
213/2020/00794;15/09/2020;Coordinación del Distrito de Centro;;;IN - Internet;S;F
213/2020/00795;15/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;16/09/2020;IN - Internet;S;F
213/2020/00796;15/09/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;07/10/2020;IN - Internet;S;F
213/2020/00798;15/09/2020;Gerencia de Agencia de Actividades;Conceder;18/09/2020;IN - Internet;S;F
213/2020/00799;15/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;16/09/2020;IN - Internet;S;F
213/2020/00800;15/09/2020;Dirección Agencia Tributaria Madrid;TIPO I Resuelta favorablemente;23/09/2020;IN - Internet;N;
213/2020/00801;16/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;17/09/2020;IN - Internet;S;F
213/2020/00802;17/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;14/10/2020;IN - Internet;S;F
213/2020/00803;17/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Acumulación expediente;22/09/2020;AC - Atención al ciudadano;N;
213/2020/00804;17/09/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Desistimiento;01/10/2020;IN - Internet;S;F
213/2020/00806;17/09/2020;Coordinación del Distrito de Retiro;Conceder;07/10/2020;IN - Internet;S;F
213/2020/00807;18/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;29/09/2020;IN - Internet;S;F
213/2020/00808;18/09/2020;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;15/10/2020;IN - Internet;S;F
213/2020/00809;11/09/2020;Club de Campo Villa de Madrid, S.A.;No admisión a trámite;02/10/2020;AC - Atención al ciudadano;S;F
213/2020/00810;10/09/2020;Empresa Mixta de Servicios Funerarios, S.A.;Resolución concediendo;24/08/2020;AC - Atención al ciudadano;S;F
213/2020/00811;10/09/2020;Empresa Mixta de Servicios Funerarios, S.A.;Resolución concediendo;24/08/2020;AC - Atención al ciudadano;S;F
213/2020/00812;10/09/2020;Empresa Mixta de Servicios Funerarios, S.A.;Resolución concediendo;24/08/2020;AC - Atención al ciudadano;S;F
213/2020/00813;18/09/2020;Coordinación del Distrito de Chamartín;Conceder;21/10/2020;IN - Internet;S;F
213/2020/00814;18/09/2020;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Conceder;20/10/2020;IN - Internet;S;F
213/2020/00815;20/09/2020;Secretaría General Técnica del Área de Gobierno de Obras y Equipamientos;Resolución concediendo;11/11/2020;IN - Internet;N;
213/2020/00816;20/09/2020;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;15/10/2020;IN - Internet;S;F
213/2020/00818;21/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;24/09/2020;IN - Internet;S;F
213/2020/00819;17/09/2020;Secretaría General Técnica del Área de Gobierno de Economía, Innovación y Empleo;Conceder;10/03/2021;AC - Atención al ciudadano;S;F
213/2020/00820;21/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;20/10/2020;IN - Internet;S;J
213/2020/00821;21/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;20/10/2020;IN - Internet;S;F
213/2020/00822;21/09/2020;Dirección Agencia Tributaria Madrid;Inadmitir a Trámite;02/10/2020;IN - Internet;S;F
213/2020/00823;17/09/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;20/10/2020;AC - Atención al ciudadano;S;F
213/2020/00824;22/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;24/09/2020;IN - Internet;S;F
213/2020/00825;22/09/2020;Secretaría General del Pleno;Conceder;22/10/2020;IN - Internet;S;F
213/2020/00826;23/09/2020;Coordinación del Distrito de Salamanca;Inadmitir a Trámite;16/10/2020;IN - Internet;S;F
213/2020/00827;23/09/2020;Coordinación del Distrito de Salamanca;Inadmitir a Trámite;16/10/2020;IN - Internet;S;F
213/2020/00828;22/09/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;15/10/2020;AC - Atención al ciudadano;S;F
213/2020/00829;23/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;24/09/2020;IN - Internet;S;F
213/2020/00830;22/09/2020;Club de Campo Villa de Madrid, S.A.;No admisión a trámite;06/10/2020;AC - Atención al ciudadano;S;F
213/2020/00831;25/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;30/09/2020;IN - Internet;S;F
213/2020/00832;25/09/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;28/10/2020;IN - Internet;S;F
213/2020/00834;26/09/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;30/09/2020;IN - Internet;S;F
213/2020/00842;28/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;16/10/2020;IN - Internet;S;F
213/2020/00843;25/09/2020;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;14/10/2020;AC - Atención al ciudadano;S;F
213/2020/00844;28/09/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;20/10/2020;IN - Internet;S;F
213/2020/00845;28/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;27/10/2020;IN - Internet;S;F
213/2020/00846;28/09/2020;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;14/10/2020;IN - Internet;S;F
213/2020/00847;29/09/2020;Secretaría General Técnica de Vicealcaldía;Conceder;15/10/2020;IN - Internet;S;F
213/2020/00848;29/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;11/11/2020;IN - Internet;S;F
213/2020/00849;10/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;13/10/2020;AC - Atención al ciudadano;S;F
213/2020/00850;10/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;22/10/2020;AC - Atención al ciudadano;S;F
213/2020/00851;29/09/2020;Secretaría General Técnica del Área de Gobierno de Obras y Equipamientos;Resolución concediendo;11/12/2020;IN - Internet;S;F
213/2020/00853;29/09/2020;Coordinación del Distrito de Fuencarral-El Pardo;Conceder parcial;13/11/2020;IN - Internet;S;F
213/2020/00854;30/09/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;15/10/2020;IN - Internet;S;F
213/2020/00855;30/09/2020;Empresa Municipal de la Vivienda y Suelo de Madrid, S.A.;Resolución concediendo;19/10/2020;IN - Internet;S;F
213/2020/00856;20/09/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;23/12/2020;OT - Otros;S;F
213/2020/00857;30/09/2020;Coordinación del Distrito de Ciudad Lineal;Conceder;13/10/2020;IN - Internet;S;F
213/2020/00858;30/09/2020;Secretaría General Técnica del Área de Gobierno de Obras y Equipamientos;Resolución concediendo;30/10/2020;IN - Internet;S;F
213/2020/00859;30/09/2020;Coordinación del Distrito de Hortaleza;Inadmitir a Trámite;04/03/2021;IN - Internet;S;F
213/2020/00860;01/10/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;03/11/2020;IN - Internet;S;F
213/2020/00861;01/10/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;28/10/2020;IN - Internet;S;F
213/2020/00862;01/10/2020;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Conceder;30/10/2020;IN - Internet;S;F
213/2020/00864;22/09/2020;Secretaría General Técnica del Área de Gobierno de Obras y Equipamientos;Resolución concediendo;24/10/2020;OT - Otros;S;F
213/2020/00865;25/09/2020;Club de Campo Villa de Madrid, S.A.;No admisión a trámite;15/10/2020;AC - Atención al ciudadano;S;F
213/2020/00866;02/10/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Inadmitir a Trámite;16/10/2020;IN - Internet;S;J
213/2020/00868;02/10/2020;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;29/10/2020;IN - Internet;S;F
213/2020/00869;02/10/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;13/11/2020;IN - Internet;S;F
213/2020/00871;04/10/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;20/10/2020;IN - Internet;S;F
213/2020/00872;04/10/2020;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;27/10/2020;IN - Internet;S;F
213/2020/00874;04/10/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Inadmitir a Trámite;08/10/2020;IN - Internet;S;F
213/2020/00875;04/10/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;No admisión a trámite;09/10/2020;IN - Internet;S;F
213/2020/00876;05/10/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;09/10/2020;IN - Internet;S;F
213/2020/00877;04/10/2020;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;16/10/2020;AC - Atención al ciudadano;S;F
213/2020/00878;05/10/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;15/10/2020;IN - Internet;S;F
213/2020/00879;05/10/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;09/10/2020;IN - Internet;S;F
213/2020/00880;05/10/2020;Coordinación del Distrito de Tetuán;Inadmitir a Trámite;10/08/2021;IN - Internet;S;F
213/2020/00881;06/10/2020;Empresa Municipal de Transportes, S.A.;No admisión a trámite;15/10/2020;IN - Internet;S;F
213/2020/00882;06/10/2020;Empresa Municipal de la Vivienda y Suelo de Madrid, S.A.;Resolución concediendo;05/11/2020;IN - Internet;S;F
213/2020/00883;07/10/2020;Gerencia de Madrid Salud;Conceder parcial;20/10/2020;IN - Internet;S;F
213/2020/00884;03/10/2020;Secretaría General Técnica de Vicealcaldía;Conceder;27/01/2021;AC - Atención al ciudadano;S;F
213/2020/00885;02/10/2020;Club de Campo Villa de Madrid, S.A.;Resolución concediendo;15/10/2020;AC - Atención al ciudadano;S;F
213/2020/00886;05/10/2020;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;20/10/2020;AC - Atención al ciudadano;S;F
213/2020/00887;05/10/2020;Club de Campo Villa de Madrid, S.A.;Resolución concediendo;15/10/2020;AC - Atención al ciudadano;S;F
213/2020/00888;07/10/2020;Coordinación del Distrito de Ciudad Lineal;Conceder;04/11/2020;IN - Internet;S;F
213/2020/00889;07/10/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;15/12/2020;IN - Internet;S;J
213/2020/00890;07/10/2020;Coordinación del Distrito de Ciudad Lineal;Conceder;25/11/2020;IN - Internet;S;F
213/2020/00891;08/10/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;24/11/2020;IN - Internet;S;F
213/2020/00892;08/10/2020;Secretaría General Técnica del Área de Gobierno de Obras y Equipamientos;Resolución concediendo;24/11/2020;OT - Otros;N;
213/2020/00893;08/10/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;22/10/2020;OT - Otros;N;
213/2020/00894;08/10/2020;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Conceder;23/11/2020;IN - Internet;S;F
213/2020/00895;08/10/2020;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Resolución concediendo;04/11/2020;IN - Internet;S;F
213/2020/00896;09/10/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;22/10/2020;IN - Internet;S;F
213/2020/00897;09/10/2020;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;11/11/2020;AC - Atención al ciudadano;S;F
213/2020/00898;09/10/2020;Dirección General de Transparencia y Calidad;Desistimiento;07/05/2021;IN - Internet;S;F
213/2020/00899;09/10/2020;Coordinación del Distrito de Latina;Conceder;28/10/2020;IN - Internet;S;F
213/2020/00900;11/10/2020;Coordinación del Distrito de Villa de Vallecas;Conceder;04/11/2020;IN - Internet;S;F
213/2020/00901;12/10/2020;Gerencia Agencia para el Empleo;TIPO I Resuelta favorablemente;20/10/2020;IN - Internet;S;F
213/2020/00902;13/10/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;29/10/2020;IN - Internet;S;F
213/2020/00903;13/10/2020;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;14/10/2020;IN - Internet;S;F
213/2020/00904;13/10/2020;Coordinación General de Distritos, Transparencia y Participación Ciudadana;Conceder parcial;27/10/2020;IN - Internet;S;F
213/2020/00905;13/10/2020;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Conceder;22/10/2020;IN - Internet;S;F
213/2020/00906;13/10/2020;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;TIPO I Resuelta favorablemente;16/10/2020;IN - Internet;N;
213/2020/00907;22/09/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;21/10/2020;AC - Atención al ciudadano;S;F
213/2020/00908;13/10/2020;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;02/11/2020;IN - Internet;S;F
213/2020/00909;13/10/2020;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;22/10/2020;IN - Internet;S;F
213/2020/00910;13/10/2020;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;15/10/2020;IN - Internet;S;F
213/2020/00911;13/10/2020;Coordinación del Distrito de Ciudad Lineal;Conceder;19/11/2020;IN - Internet;S;F
213/2020/00912;13/10/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;04/11/2020;IN - Internet;S;F
213/2020/00913;15/09/2020;Secretaría General Técnica del Área de Gobierno de Obras y Equipamientos;Resolución concediendo;17/11/2020;AC - Atención al ciudadano;S;F
213/2020/00914;13/10/2020;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Acumulación expediente;21/10/2020;AC - Atención al ciudadano;S;F
213/2020/00915;14/10/2020;Dirección Agencia Tributaria Madrid;Conceder;11/11/2020;IN - Internet;S;F
213/2020/00916;14/10/2020;Secretaría General Técnica del Área de Gobierno de Obras y Equipamientos;No admisión a trámite;24/11/2020;IN - Internet;S;F
213/2020/00917;14/10/2020;Gerencia de Agencia de Actividades;Conceder;21/10/2020;IN - Internet;S;F
213/2020/00918;15/10/2020;Gerencia de Madrid Salud;Conceder;18/11/2020;IN - Internet;S;F
213/2020/00919;15/10/2020;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;29/10/2020;IN - Internet;S;F
213/2020/00920;15/10/2020;Gerencia de Agencia de Actividades;Conceder;06/11/2020;IN - Internet;S;F
